#Model: Cubesat 
#Duration: 10s 
#Periodicity: 5s (Per Rotation) 
#O/R: (0,0,0,0)/(1,1,0,1)

0.0 2.3391845E-5
53.0 2.3268929E-5
111.0 2.2972867E-5
165.0 2.2608132E-5
223.0 2.2078995E-5
282.0 2.3102903E-5
340.0 2.6220883E-5
398.0 2.9355044E-5
453.0 3.2090025E-5
512.0 3.5523914E-5
570.0 3.9355567E-5
629.0 4.349929E-5
688.0 4.7340458E-5
745.0 5.0401966E-5
802.0 5.2296793E-5
862.0 5.2823285E-5
922.0 5.2126492E-5
981.0 5.066891E-5
1040.0 4.8881397E-5
1099.0 4.7157282E-5
1157.0 4.569972E-5
1215.0 4.5017186E-5
1274.0 4.4727694E-5
1333.0 4.4639655E-5
1392.0 4.488097E-5
1451.0 4.5385033E-5
1509.0 4.656876E-5
1566.0 4.825671E-5
1624.0 5.0031842E-5
1682.0 5.1749306E-5
1741.0 5.2923522E-5
1800.0 5.3076317E-5
1858.0 5.1892825E-5
1917.0 4.930667E-5
1974.0 4.574728E-5
2032.0 4.1677988E-5
2090.0 3.7534137E-5
2149.0 3.3987297E-5
2208.0 3.063891E-5
2266.0 2.7758253E-5
2325.0 2.467449E-5
2383.0 2.1806682E-5
2440.0 2.2357377E-5
2497.0 2.2800821E-5
2556.0 2.3116181E-5
2615.0 2.340585E-5
2674.0 2.347292E-5
2733.0 2.3383358E-5
2791.0 2.3149612E-5
2850.0 2.2729431E-5
2909.0 2.2670725E-5
2968.0 2.3031667E-5
3025.0 2.5435118E-5
3084.0 2.8402523E-5
3143.0 3.1318315E-5
3201.0 3.4557972E-5
3260.0 3.858973E-5
3319.0 4.330509E-5
3377.0 4.799247E-5
3436.0 5.225341E-5
3496.0 5.5343684E-5
3553.0 5.7085028E-5
3612.0 5.7418136E-5
3668.0 5.6647194E-5
3727.0 5.543487E-5
3786.0 5.4284257E-5
3845.0 5.351455E-5
3903.0 5.2913994E-5
3961.0 5.2619565E-5
4020.0 5.278963E-5
4078.0 5.327384E-5
4137.0 5.4120064E-5
4196.0 5.5422704E-5
4254.0 5.645523E-5
4311.0 5.678007E-5
4369.0 5.5819128E-5
4426.0 5.3339998E-5
4485.0 4.950235E-5
4543.0 4.492515E-5
4602.0 4.0293955E-5
4661.0 3.601664E-5
4719.0 3.2647364E-5
4777.0 2.9539251E-5
4835.0 2.6843367E-5
4891.0 2.389275E-5
4949.0 2.2816645E-5
5008.0 2.2508813E-5
5067.0 2.2940892E-5
5125.0 2.3321785E-5
5183.0 2.3347839E-5
5241.0 2.3469478E-5
5299.0 2.3268929E-5
5358.0 2.2972867E-5
5417.0 2.260638E-5
5473.0 2.2078975E-5
5532.0 2.3102903E-5
5590.0 2.6220905E-5
5648.0 2.9351413E-5
5706.0 3.2090047E-5
5765.0 3.5523935E-5
5824.0 3.9352704E-5
5883.0 4.349827E-5
5941.0 4.7335845E-5
5998.0 5.0403294E-5
6057.0 5.2291223E-5
6116.0 5.2823558E-5
6174.0 5.2131025E-5
6233.0 5.067126E-5
6292.0 4.8883474E-5
6351.0 4.715676E-5
6409.0 4.569796E-5
6468.0 4.5019173E-5
6525.0 4.4728535E-5
6584.0 4.4639382E-5
6642.0 4.4882006E-5
6699.0 4.538755E-5
6758.0 4.656768E-5
6816.0 4.8259695E-5
6874.0 5.0033337E-5
6933.0 5.1750583E-5
6991.0 5.291983E-5
7048.0 5.3067088E-5
7106.0 5.189344E-5
7164.0 4.9311337E-5
7222.0 4.5747904E-5
7280.0 4.1682903E-5
7339.0 3.754474E-5
7398.0 3.3984685E-5
7457.0 3.064241E-5
7513.0 2.7758966E-5
7571.0 2.4677232E-5
7630.0 2.1807859E-5
7688.0 2.2356991E-5
7746.0 2.2800436E-5
7805.0 2.3115796E-5
7863.0 2.3404504E-5
7920.0 2.3472297E-5
7978.0 2.3383358E-5
8035.0 2.3147662E-5
8094.0 2.2729431E-5
8152.0 2.2670341E-5
8210.0 2.3027234E-5
8268.0 2.5427466E-5
8326.0 2.8401346E-5
8385.0 3.1319276E-5
8443.0 3.4559445E-5
8500.0 3.8588852E-5
8559.0 4.329938E-5
8617.0 4.799974E-5
8676.0 5.2259566E-5
8735.0 5.5342276E-5
8794.0 5.7093825E-5
8852.0 5.742241E-5
8910.0 5.665038E-5
8968.0 5.5434462E-5
9026.0 5.428588E-5
9085.0 5.35162E-5
9144.0 5.291233E-5
9203.0 5.2619016E-5
9262.0 5.279371E-5
9321.0 5.327235E-5
9378.0 5.4118802E-5
9437.0 5.542455E-5
9495.0 5.6455447E-5
9552.0 5.678202E-5
9611.0 5.581833E-5
9669.0 5.3351123E-5
9727.0 4.9498016E-5
9784.0 4.4925167E-5
9842.0 4.029558E-5
9901.0 3.6016194E-5
9960.0 3.264986E-5
10018.0 2.9539273E-5
